PYPL,9,8
TXN,5,11
GOLD,1,20
WMT,6,21
QCOM,11,44
NKE,3,13
V,6,18
CAT,5,20
TSM,0.33333333,2
BABA,9,27
GLOB,6,24
DIS,4,20
MELI,60,35
NVDA,24,48
AMD,0.5,7
FB,8,48
KO,5,200
GOOGL,58,67
TSLA,15,50
AMZN,144,220
MSFT,10,248
AAPL,10,600
