ABT
HWM
AEG
MO
ACH
AEM
AMX
AXP
AIG
AMGN
ADI
AAPL
AMAT
T
ADP
AVY
CAR
NTCO
AZN
BBVA
BBD
BSBR
BAC
BCS
GOLD
BAS.DE
BAYN.DE
BHP
BA
BP
BMY
BG
CAJ
CAH
CAT
CX
CVX
LFC
SNP
CSCO
C
KO
KOF
CDE
CL
VALE
GLW
COST
CS
DAI.DE
DE
DTE.DE
DEO
DIS
DD
EBAY
EOAN.DE
LLY
E
XOM
FNMA
FDX
FSLR
FMX
ORAN
FMCC
FCX
GE
GSK
GFI
GOOGL
PAC
ASR
TV
BSN.DE
HOG
HMY
HDB
HL
HPQ
HMC
HHPD.IL
HON
HSBC
HNP
IBM
IBN
INFY
ING
INTC
IFF
IP
JPM
JNJ
KMB
KGC
KB
KEP
LVS
LYG
ERIC
LMT
MMC
PCRFY
MCD
MDT
MELI
MRK
MSFT
MMM
MUFG
MFG
MBT
MSI
NGG
NEC1.BE
NEM
NKE
NSANY
NOK
NMR
NVS
