TMO
PYPL
CRM
TSLA
TWTR
AMD
NG
TRIP
ANF
URBN
GRMN
SNAP
VRSN
XRX
YELP
ROST
TGT
GS
V
ARCO
DESP
AGRO
GLOB
BABA
BIDU
ABEV
VIV
VEDL
JD
NTES
TCOM
YY
GGB
BRFS
CBD
SBS
WB
ITUB
ERJ
UGP
SUZ
EBR
ELP
TIMB
SID
TS
SAN
PBR
VIST
ABBV 
BRKB 
BIOX 
AVGO 
CAAP 
DOCU 
ETSY 
GPRK
HAL 
MA 
PAAS 
PSX
UNP 
UNH
WBA 
ZM 
EFX
SQ 
SHOP 
SPOT 
SNOW
