NLMK.IL
ORCL
PCAR
PSO
PEP
PTR
PFE
PHG
PBI
PKX
PG
QCOM
BB
RIO
RDSB
SMSN.IL
SAP
SLB
SIEGY
SNA
SONY
SCCO
SBUX
SYY
TSM
TTM
TIIAY
TEF
TX
TXN
BK
HSY
HD
TOT
TM
TRV
JCI
USB
UL
X
RTX
VZ
VOD
WMT
WFC
WBK
AABA
AUY
YZCAY
FB
AMZN
NVDA
ADBE
BIIB
GILD
NFLX
