BRK-B
JNJ
UNH
T
MA
INTC
AVGO
JD
DE
COST
BA
SQ
GLOB
ADBE
CSCO
JPM
PG
LMT
NFLX
NVS
SHOP
BIDU
TWTR
HPQ
GE
HON
ZM
SPOT
CRM
